year_mobility,region_origin,destination,latitude,longitude,n_mobile
2023,Sub-Saharan Africa,ZM,-14.33333,28.5,20
2010,Sub-Saharan Africa,BF,12.5,-1.66667,5
2010,Sub-Saharan Africa,CD,-2.5,23.5,1
2010,Sub-Saharan Africa,CO,4,-73.25,1
2010,Sub-Saharan Africa,CZ,49.75,15,1
2010,Sub-Saharan Africa,TG,8.66667,1.08333,1
2010,Sub-Saharan Africa,TZ,-6,35,3
2011,Sub-Saharan Africa,CM,6,12.5,8
2011,Sub-Saharan Africa,GT,15.5,-90.25,2
2011,Sub-Saharan Africa,IN,22,79,16
2011,Sub-Saharan Africa,JP,35.68536,139.75309,20
2011,Sub-Saharan Africa,LA,18,105,1
2011,Sub-Saharan Africa,SZ,-26.5,31.5,2
2011,Sub-Saharan Africa,US,39.76,-98.5,222
2012,Sub-Saharan Africa,BF,12.5,-1.66667,5
2012,Sub-Saharan Africa,CZ,49.75,15,3
2012,Sub-Saharan Africa,FI,64,26,7
2012,Sub-Saharan Africa,ID,-5,120,2
2012,Sub-Saharan Africa,OM,21,57,2
2012,Sub-Saharan Africa,SE,62,15,29
2012,Sub-Saharan Africa,TH,15.5,101,2
2012,Sub-Saharan Africa,ZW,-19,29.75,3
2013,Sub-Saharan Africa,BW,-22,24,8
2013,Sub-Saharan Africa,CN,35,105,20
2013,Sub-Saharan Africa,ET,9,39.5,3
2013,Sub-Saharan Africa,FR,46,2,69
2013,Sub-Saharan Africa,KR,36.5,127.75,3
2013,Sub-Saharan Africa,LK,7.75,80.75,1
2013,Sub-Saharan Africa,MW,-13.5,34,3
2013,Sub-Saharan Africa,NL,52.25,5.75,54
2013,Sub-Saharan Africa,SZ,-26.5,31.5,1
2014,Sub-Saharan Africa,BJ,9.5,2.25,6
2014,Sub-Saharan Africa,CI,8,-5.5,5
2014,Sub-Saharan Africa,IR,32,53,2
2014,Sub-Saharan Africa,PK,30,70,2
2014,Sub-Saharan Africa,VN,16.16667,107.83333,5
2015,Sub-Saharan Africa,AR,-34,-64,1
2015,Sub-Saharan Africa,CL,-30,-71,3
2015,Sub-Saharan Africa,EG,27,30,5
2015,Sub-Saharan Africa,ES,40,-4,8
2015,Sub-Saharan Africa,FR,46,2,79
2015,Sub-Saharan Africa,GB,54.75844,-2.69531,196
2015,Sub-Saharan Africa,IT,42.83333,12.83333,24
2015,Sub-Saharan Africa,PT,39.6945,-8.13057,6
2016,Sub-Saharan Africa,BJ,9.5,2.25,9
2016,Sub-Saharan Africa,DE,51.5,10.5,85
2016,Sub-Saharan Africa,DK,56,10,12
2016,Sub-Saharan Africa,IE,53,-8,3
2016,Sub-Saharan Africa,JM,18.16667,-77.25,2
2016,Sub-Saharan Africa,NG,10,8,35
2016,Sub-Saharan Africa,RO,46,25,4
2016,Sub-Saharan Africa,RU,60,100,1
2016,Sub-Saharan Africa,SD,16,30,6
2016,Sub-Saharan Africa,SG,1.36667,103.8,5
2016,Sub-Saharan Africa,TW,24,121,5
2016,Sub-Saharan Africa,US,39.76,-98.5,360
2016,Sub-Saharan Africa,UY,-33,-56,1
2016,Sub-Saharan Africa,ZM,-14.33333,28.5,9
2017,Sub-Saharan Africa,CD,-2.5,23.5,2
2017,Sub-Saharan Africa,CZ,49.75,15,1
2017,Sub-Saharan Africa,IT,42.83333,12.83333,17
2017,Sub-Saharan Africa,MG,-20,47,3
2017,Sub-Saharan Africa,TR,39,35,4
2017,Sub-Saharan Africa,UG,1.25,32.5,35
2018,Sub-Saharan Africa,CY,35,33,3
2018,Sub-Saharan Africa,DE,51.5,10.5,93
2018,Sub-Saharan Africa,ET,9,39.5,17
2018,Sub-Saharan Africa,GM,13.5,-15.5,1
2018,Sub-Saharan Africa,IL,31.5,34.75,1
2018,Sub-Saharan Africa,LB,33.83333,35.83333,1
2018,Sub-Saharan Africa,MX,23,-102,1
2018,Sub-Saharan Africa,PL,52,20,4
2018,Sub-Saharan Africa,SS,7.5,30,2
2019,Sub-Saharan Africa,BF,12.5,-1.66667,4
2019,Sub-Saharan Africa,CD,-2.5,23.5,5
2019,Sub-Saharan Africa,ID,-5,120,3
2019,Sub-Saharan Africa,LS,-29.5,28.25,1
2019,Sub-Saharan Africa,OM,21,57,3
2019,Sub-Saharan Africa,SE,62,15,33
2019,Sub-Saharan Africa,TG,8.66667,1.08333,3
2019,Sub-Saharan Africa,TH,15.5,101,11
2019,Sub-Saharan Africa,UG,1.25,32.5,25
2020,Sub-Saharan Africa,CY,35,33,2
